"name","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","rating"
"100% Bran",246.917935060583,14.1095962891762,3.52739907229404,458.561879398226,35.2739907229404,17.6369953614702,21.1643944337643,987.671740242332,88.1849768073511,68.402973
"100% Natural Bran",423.287888675285,10.5821972168821,17.6369953614702,52.9109860844107,7.05479814458809,28.2191925783524,28.2191925783524,476.198874759696,0,33.983679
"All-Bran",246.917935060583,14.1095962891762,3.52739907229404,917.123758796451,31.7465916506464,24.6917935060583,17.6369953614702,1128.76770313409,88.1849768073511,59.425505
"All-Bran with Extra Fiber",176.369953614702,14.1095962891762,0,493.835870121166,49.3835870121166,28.2191925783524,0,1164.04169385703,88.1849768073511,93.704912
"Almond Delight",388.013897952345,7.05479814458809,7.05479814458809,705.479814458809,3.52739907229404,49.3835870121166,28.2191925783524,-3.52739907229404,88.1849768073511,34.384843
"Apple Cinnamon Cheerios",388.013897952345,7.05479814458809,7.05479814458809,634.931833012928,5.29109860844107,37.0376902590875,35.2739907229404,246.917935060583,88.1849768073511,29.509541
"Apple Jacks",388.013897952345,7.05479814458809,0,440.924884036755,3.52739907229404,38.8013897952345,49.3835870121166,105.821972168821,88.1849768073511,33.174094
"Basic 4",344.783367968591,7.95653926081363,5.30435950720909,556.957748256954,5.30435950720909,47.7392355648818,21.2174380288364,265.217975360454,66.3044938401136,37.038562
"Bran Chex",317.465916506464,7.05479814458809,3.52739907229404,705.479814458809,14.1095962891762,52.9109860844107,21.1643944337643,440.924884036755,88.1849768073511,49.120253
"Bran Flakes",317.465916506464,10.5821972168821,0,740.753805181749,17.6369953614702,45.8561879398226,17.6369953614702,670.205823735868,88.1849768073511,53.313813
"Cap'n'Crunch",423.287888675285,3.52739907229404,7.05479814458809,776.02779590469,0,42.3287888675285,42.3287888675285,123.458967530292,88.1849768073511,18.042851
"Cheerios",388.013897952345,21.1643944337643,7.05479814458809,1022.94573096527,7.05479814458809,59.9657842289987,3.52739907229404,370.376902590875,88.1849768073511,50.764999
"Cinnamon Toast Crunch",423.287888675285,3.52739907229404,10.5821972168821,740.753805181749,0,45.8561879398226,31.7465916506464,158.732958253232,88.1849768073511,19.823573
"Clusters",388.013897952345,10.5821972168821,7.05479814458809,493.835870121166,7.05479814458809,45.8561879398226,24.6917935060583,370.376902590875,88.1849768073511,40.400208
"Cocoa Puffs",388.013897952345,3.52739907229404,3.52739907229404,634.931833012928,0,42.3287888675285,45.8561879398226,194.006948976172,88.1849768073511,22.736446
"Corn Chex",388.013897952345,7.05479814458809,0,987.671740242332,0,77.602779590469,10.5821972168821,88.1849768073511,88.1849768073511,41.445019
"Corn Flakes",352.739907229404,7.05479814458809,0,1022.94573096527,3.52739907229404,74.0753805181749,7.05479814458809,123.458967530292,88.1849768073511,45.863324
"Corn Pops",388.013897952345,3.52739907229404,0,317.465916506464,3.52739907229404,45.8561879398226,42.3287888675285,70.5479814458809,88.1849768073511,35.782791
"Count Chocula",388.013897952345,3.52739907229404,3.52739907229404,634.931833012928,0,42.3287888675285,45.8561879398226,229.280939699113,88.1849768073511,22.396513
"Cracklin' Oat Bran",388.013897952345,10.5821972168821,10.5821972168821,493.835870121166,14.1095962891762,35.2739907229404,24.6917935060583,564.383851567047,88.1849768073511,40.448772
"Cream of Wheat (Quick)",352.739907229404,10.5821972168821,0,282.191925783524,3.52739907229404,74.0753805181749,0,-3.52739907229404,0,64.533816
"Crispix",388.013897952345,7.05479814458809,0,776.02779590469,3.52739907229404,74.0753805181749,10.5821972168821,105.821972168821,88.1849768073511,46.895644
"Crispy Wheat & Raisins",352.739907229404,7.05479814458809,3.52739907229404,493.835870121166,7.05479814458809,38.8013897952345,35.2739907229404,423.287888675285,88.1849768073511,36.176196
"Double Chex",352.739907229404,7.05479814458809,0,670.205823735868,3.52739907229404,63.4931833012928,17.6369953614702,282.191925783524,88.1849768073511,44.330856
"Froot Loops",388.013897952345,7.05479814458809,3.52739907229404,440.924884036755,3.52739907229404,38.8013897952345,45.8561879398226,105.821972168821,88.1849768073511,32.207582
"Frosted Flakes",388.013897952345,3.52739907229404,0,705.479814458809,3.52739907229404,49.3835870121166,38.8013897952345,88.1849768073511,88.1849768073511,31.435973
"Frosted Mini-Wheats",352.739907229404,10.5821972168821,0,0,10.5821972168821,49.3835870121166,24.6917935060583,352.739907229404,88.1849768073511,58.345141
"Fruit & Fibre Dates; Walnuts; and Oats",338.630310940228,8.46575777350571,5.64383851567047,451.507081253638,14.1095962891762,33.8630310940228,28.2191925783524,564.383851567047,70.5479814458809,40.917047
"Fruitful Bran",318.261570432545,7.95653926081363,0,636.523140865091,13.2608987680227,37.1305165504636,31.8261570432545,503.914153184863,66.3044938401136,41.015492
"Fruity Pebbles",388.013897952345,3.52739907229404,3.52739907229404,476.198874759696,0,45.8561879398226,42.3287888675285,88.1849768073511,88.1849768073511,28.025765
"Golden Crisp",352.739907229404,7.05479814458809,0,158.732958253232,0,38.8013897952345,52.9109860844107,141.095962891762,88.1849768073511,35.252444
"Golden Grahams",388.013897952345,3.52739907229404,3.52739907229404,987.671740242332,0,52.9109860844107,31.7465916506464,158.732958253232,88.1849768073511,23.804043
"Grape Nuts Flakes",352.739907229404,10.5821972168821,3.52739907229404,493.835870121166,10.5821972168821,52.9109860844107,17.6369953614702,299.828921144994,88.1849768073511,52.076897
"Grape-Nuts",388.013897952345,10.5821972168821,0,599.657842289987,10.5821972168821,59.9657842289987,10.5821972168821,317.465916506464,88.1849768073511,53.371007
"Great Grains Pecan",423.287888675285,10.5821972168821,10.5821972168821,264.554930422053,10.5821972168821,45.8561879398226,14.1095962891762,352.739907229404,88.1849768073511,45.811716
"Honey Graham Ohs",423.287888675285,3.52739907229404,7.05479814458809,776.02779590469,3.52739907229404,42.3287888675285,38.8013897952345,158.732958253232,88.1849768073511,21.871292
"Honey Nut Cheerios",388.013897952345,10.5821972168821,3.52739907229404,881.849768073511,5.29109860844107,40.5650893313815,35.2739907229404,317.465916506464,88.1849768073511,31.072217
"Honey-comb",388.013897952345,3.52739907229404,0,634.931833012928,0,49.3835870121166,38.8013897952345,123.458967530292,88.1849768073511,28.742414
"Just Right Crunchy  Nuggets",388.013897952345,7.05479814458809,3.52739907229404,599.657842289987,3.52739907229404,59.9657842289987,21.1643944337643,211.643944337643,352.739907229404,36.523683
"Just Right Fruit & Nut",379.873746247051,8.14015170529395,2.71338390176465,461.27526329999,5.4267678035293,54.267678035293,24.4204551158818,257.771470667642,271.338390176465,36.471512
"Kix",388.013897952345,7.05479814458809,3.52739907229404,917.123758796451,0,74.0753805181749,10.5821972168821,141.095962891762,88.1849768073511,39.241114
"Life",352.739907229404,14.1095962891762,7.05479814458809,529.109860844107,7.05479814458809,42.3287888675285,21.1643944337643,335.102911867934,88.1849768073511,45.328074
"Lucky Charms",388.013897952345,7.05479814458809,3.52739907229404,634.931833012928,0,42.3287888675285,42.3287888675285,194.006948976172,88.1849768073511,26.734515
"Maypo",352.739907229404,14.1095962891762,3.52739907229404,0,0,56.4383851567047,10.5821972168821,335.102911867934,88.1849768073511,54.850917
"Muesli Raisins; Dates; & Almonds",529.109860844107,14.1095962891762,10.5821972168821,335.102911867934,10.5821972168821,56.4383851567047,38.8013897952345,599.657842289987,88.1849768073511,37.136863
"Muesli Raisins; Peaches; & Pecans",529.109860844107,14.1095962891762,10.5821972168821,529.109860844107,10.5821972168821,56.4383851567047,38.8013897952345,599.657842289987,88.1849768073511,34.139765
"Mueslix Crispy Blend",376.255901044698,7.05479814458809,4.70319876305873,352.739907229404,7.05479814458809,39.9771894859992,30.5707919598817,376.255901044698,58.7899845382341,30.313351
"Multi-Grain Cheerios",352.739907229404,7.05479814458809,3.52739907229404,776.02779590469,7.05479814458809,52.9109860844107,21.1643944337643,317.465916506464,88.1849768073511,40.105965
"Nut&Honey Crunch",423.287888675285,7.05479814458809,3.52739907229404,670.205823735868,0,52.9109860844107,31.7465916506464,141.095962891762,88.1849768073511,29.924285
"Nutri-Grain Almond-Raisin",371.305165504636,7.95653926081363,5.30435950720909,583.479545793,7.95653926081363,55.6957748256954,18.5652582752318,344.783367968591,66.3044938401136,40.69232
"Nutri-grain Wheat",317.465916506464,10.5821972168821,0,599.657842289987,10.5821972168821,63.4931833012928,7.05479814458809,317.465916506464,88.1849768073511,59.642837
"Oatmeal Raisin Crisp",366.849503518581,8.46575777350571,5.64383851567047,479.72627383199,4.23287888675285,38.0959099807757,28.2191925783524,338.630310940228,70.5479814458809,30.450843
"Post Nat. Raisin Bran",318.261570432545,7.95653926081363,2.65217975360454,530.435950720909,15.9130785216273,29.17397728965,37.1305165504636,689.566735937181,66.3044938401136,37.840594
"Product 19",352.739907229404,10.5821972168821,0,1128.76770313409,3.52739907229404,70.5479814458809,10.5821972168821,158.732958253232,352.739907229404,41.50354
"Puffed Rice",352.739907229404,7.05479814458809,0,0,0,91.7123758796452,0,105.821972168821,0,60.756112
"Puffed Wheat",352.739907229404,14.1095962891762,0,0,7.05479814458809,70.5479814458809,0,352.739907229404,0,63.005645
"Quaker Oat Squares",352.739907229404,14.1095962891762,3.52739907229404,476.198874759696,7.05479814458809,49.3835870121166,21.1643944337643,388.013897952345,88.1849768073511,49.511874
"Quaker Oatmeal",352.739907229404,17.6369953614702,7.05479814458809,0,9.52397749519392,-3.52739907229404,-3.52739907229404,388.013897952345,0,50.828392
"Raisin Bran",318.261570432545,7.95653926081363,2.65217975360454,556.957748256954,13.2608987680227,37.1305165504636,31.8261570432545,636.523140865091,66.3044938401136,39.259197
"Raisin Nut Bran",352.739907229404,10.5821972168821,7.05479814458809,493.835870121166,8.81849768073511,37.0376902590875,28.2191925783524,493.835870121166,88.1849768073511,39.7034
"Raisin Squares",317.465916506464,7.05479814458809,0,0,7.05479814458809,52.9109860844107,21.1643944337643,388.013897952345,88.1849768073511,55.333142
"Rice Chex",388.013897952345,3.52739907229404,0,846.575777350571,0,81.130178662763,7.05479814458809,105.821972168821,88.1849768073511,41.998933
"Rice Krispies",388.013897952345,7.05479814458809,0,1022.94573096527,0,77.602779590469,10.5821972168821,123.458967530292,88.1849768073511,40.560159
"Shredded Wheat",339.990272028342,8.49975680070854,0,0,12.7496352010628,67.9980544056683,0,403.738448033656,0,68.235885
"Shredded Wheat 'n'Bran",317.465916506464,10.5821972168821,0,0,14.1095962891762,67.0205823735868,0,493.835870121166,0,74.472949
"Shredded Wheat spoon size",317.465916506464,10.5821972168821,0,0,10.5821972168821,70.5479814458809,0,423.287888675285,0,72.801787
"Smacks",388.013897952345,7.05479814458809,3.52739907229404,246.917935060583,3.52739907229404,31.7465916506464,52.9109860844107,141.095962891762,88.1849768073511,31.230054
"Special K",388.013897952345,21.1643944337643,0,811.30178662763,3.52739907229404,56.4383851567047,10.5821972168821,194.006948976172,88.1849768073511,53.131324
"Strawberry Fruit Wheats",317.465916506464,7.05479814458809,0,52.9109860844107,10.5821972168821,52.9109860844107,17.6369953614702,317.465916506464,88.1849768073511,59.363993
"Total Corn Flakes",388.013897952345,7.05479814458809,3.52739907229404,705.479814458809,0,74.0753805181749,10.5821972168821,123.458967530292,352.739907229404,38.839746
"Total Raisin Bran",329.223913414111,7.05479814458809,2.35159938152936,446.803882490579,9.40639752611745,35.2739907229404,32.9223913414111,540.867857751753,235.159938152936,28.592785
"Total Whole Grain",352.739907229404,10.5821972168821,3.52739907229404,705.479814458809,10.5821972168821,56.4383851567047,10.5821972168821,388.013897952345,352.739907229404,46.658844
"Triples",388.013897952345,7.05479814458809,3.52739907229404,881.849768073511,0,74.0753805181749,10.5821972168821,211.643944337643,88.1849768073511,39.106174
"Trix",388.013897952345,3.52739907229404,3.52739907229404,493.835870121166,0,45.8561879398226,42.3287888675285,88.1849768073511,88.1849768073511,27.753301
"Wheat Chex",352.739907229404,10.5821972168821,3.52739907229404,811.30178662763,10.5821972168821,59.9657842289987,10.5821972168821,405.650893313815,88.1849768073511,49.787445
"Wheaties",352.739907229404,10.5821972168821,3.52739907229404,705.479814458809,10.5821972168821,59.9657842289987,10.5821972168821,388.013897952345,88.1849768073511,51.592193
"Wheaties Honey Gold",388.013897952345,7.05479814458809,3.52739907229404,705.479814458809,3.52739907229404,56.4383851567047,28.2191925783524,211.643944337643,88.1849768073511,36.187559
